"study.hrs.perwk","attendance.rate","previous.grades","extracurricular.activities","parent.edu.level","passed"
9.3,95.3,60.6,"No","High School","No"
17.6,76.8,62.4,"Yes","Bachelor","No"
8.8,89.3,72.7,"No","Master","No"
8.8,73.8,69.3,"Yes","High School","Yes"
17.9,38.6,93.6,"No","Doctorate","Yes"
13.8,95.8,59.2,"Yes","Doctorate","No"
7.7,54.1,72.3,"No","Master","No"
1.4,66.5,49.2,"No","Associate","Yes"
7.2,54.4,55.9,"Yes","High School","No"
4.9,71.1,98,"Yes","High School","No"
11.6,94.5,51.8,"No","Bachelor","Yes"
5.5,74.7,40.8,"No","Doctorate","No"
2.9,87.2,72.4,"No","Associate","Yes"
8.9,63.4,98.2,"No","Doctorate","No"
10.3,81.1,64.4,"No","High School","No"
2.9,95.1,30.7,"No","Bachelor","Yes"
7.3,56.3,58.6,"Yes","High School","Yes"
11.9,68.2,56.6,"Yes","High School","No"
7,96.4,62.8,"Yes","Associate","No"
8.5,72.2,64.1,"No","Doctorate","Yes"
19.3,42.1,74.1,"Yes","Associate","Yes"
9.9,76.3,89.5,"No","Associate","No"
4.7,45.4,69.2,"No","Doctorate","Yes"
14.1,61,81.6,"No","High School","Yes"
3.9,60.9,67.7,"Yes","Master","No"
11,69.7,49.3,"Yes","Master","Yes"
0.2,51.2,69.1,"No","Master","Yes"
3.4,73.6,57.5,"Yes","Master","Yes"
11,84.2,48.4,"No","Master","Yes"
10.9,62.3,77.3,"Yes","Bachelor","Yes"
2.6,38.6,79.3,"No","Doctorate","Yes"
6.4,47,56.8,"No","High School","No"
7.7,79.5,56.3,"No","Doctorate","No"
15.3,77,97.2,"Yes","High School","Yes"
8.1,69.7,39.1,"No","Doctorate","No"
6.6,92.5,39.3,"Yes","Doctorate","Yes"
14.7,62.2,65.2,"No","Bachelor","Yes"
11.7,83.4,68.2,"No","Master","Yes"
14.9,75,34.1,"No","High School","No"
7.6,72.2,65.8,"No","High School","Yes"
9.1,80.6,66.6,"No","Bachelor","No"
4.5,51.3,58,"Yes","Associate","Yes"
4,35.6,48.5,"Yes","Associate","Yes"
14.1,70.7,59.4,"Yes","High School","No"
16.8,57.4,59.4,"No","High School","Yes"
9.6,86,93.9,"No","Associate","No"
11.8,75.3,58,"No","Doctorate","No"
17.7,45.8,70.8,"Yes","Bachelor","Yes"
9.8,70.5,71.7,"Yes","Master","No"
17.8,98.4,74,"No","Doctorate","Yes"
3.1,37.3,43.1,"No","Master","Yes"
14.1,73.1,72.7,"No","Doctorate","Yes"
10.4,86.5,67.8,"No","Doctorate","Yes"
10.5,99.2,66.6,"No","High School","Yes"
0.1,77.7,63.4,"No","Associate","Yes"
8.9,85.4,64.7,"No","Doctorate","Yes"
11.8,37,67.6,"No","Master","Yes"
